Geneid,X155L6_featureCounts,X195R2_featureCounts,X241L1_featureCounts,X242R4_featureCounts
ENSMUSG00000097670.2,1,0,0,0
ENSMUSG00000026147.17,0,0,2,3
ENSMUSG00000026141.14,15,14,8,7
ENSMUSG00000077463.3,0,0,0,0
ENSMUSG00000099997.2,22,8,30,22
ENSMUSG00000100131.2,473,392,356,256
ENSMUSG00000067736.3,258,181,158,134
ENSMUSG00000101939.2,55,54,28,32
ENSMUSG00000101111.2,499,407,344,338
ENSMUSG00000100862.2,853,726,662,675
ENSMUSG00000102070.2,798,628,600,570
ENSMUSG00000101249.2,434,352,347,384
ENSMUSG00000073725.9,9247,8380,6814,7251
ENSMUSG00000100808.2,0,0,0,0
ENSMUSG00000100483.2,0,0,0,0
ENSMUSG00000100450.2,0,0,0,0
ENSMUSG00000099392.2,0,0,0,0
ENSMUSG00000033569.18,1,2,2,2
ENSMUSG00000080849.2,0,0,0,0
ENSMUSG00000104257.2,0,0,0,0
ENSMUSG00000119153.1,0,0,0,0
ENSMUSG00000102296.2,0,0,0,0
ENSMUSG00000103209.2,0,0,0,2
ENSMUSG00000104027.2,0,0,0,0
ENSMUSG00000102407.2,0,0,0,0
ENSMUSG00000103214.2,0,0,1,0
ENSMUSG00000104100.2,0,0,3,0
ENSMUSG00000084740.3,0,0,0,0
ENSMUSG00000103889.2,0,0,0,0
ENSMUSG00000101301.2,0,0,0,0
ENSMUSG00000104221.2,2,0,0,0
ENSMUSG00000102250.2,2,0,4,0
ENSMUSG00000102317.2,2,0,4,0
ENSMUSG00000103563.2,0,0,0,0
ENSMUSG00000102465.2,0,0,0,0
ENSMUSG00000102659.2,0,0,0,0
ENSMUSG00000103924.2,2,0,0,0
ENSMUSG00000104132.2,0,0,0,0
ENSMUSG00000102747.2,0,0,0,0
ENSMUSG00000102386.2,0,0,0,0
ENSMUSG00000103004.2,0,0,0,0
ENSMUSG00000104516.2,0,0,0,0
ENSMUSG00000101618.2,0,0,0,0
ENSMUSG00000099458.2,14,13,2,2
ENSMUSG00000088111.3,0,0,0,0
ENSMUSG00000073722.4,2,0,4,4
ENSMUSG00000119695.1,0,0,0,0
ENSMUSG00000100310.2,0,0,0,0
ENSMUSG00000101514.3,0,0,0,2
ENSMUSG00000101033.2,0,0,0,0
ENSMUSG00000101372.2,2,2,0,2
ENSMUSG00000103241.2,0,0,0,0
ENSMUSG00000086240.5,18,15,4,12
ENSMUSG00000048411.5,9,16,4,0
ENSMUSG00000081557.3,2,0,0,0
ENSMUSG00000058590.3,3,0,0,0
ENSMUSG00000101235.2,0,0,0,0
ENSMUSG00002075209.1,1,0,0,0
ENSMUSG00002076857.1,0,0,0,0
ENSMUSG00002074912.1,0,0,0,0
ENSMUSG00000099257.3,0,0,0,1
ENSMUSG00000099492.2,34,46,44,40
ENSMUSG00000118548.2,0,0,0,0
ENSMUSG00000101726.2,0,0,0,0
ENSMUSG00002075317.1,0,0,0,0
ENSMUSG00002075289.1,0,0,0,0
ENSMUSG00000053185.3,0,0,0,0
ENSMUSG00000100261.2,58,38,24,28
ENSMUSG00000101180.2,0,0,0,0
ENSMUSG00000048874.16,18078,18495,14713,16453
ENSMUSG00000103783.2,434,407,335,355
ENSMUSG00000104315.2,825,863,701,742
ENSMUSG00000026064.17,15,22,26,16
ENSMUSG00000117310.3,161,191,143,142
ENSMUSG00000117091.2,0,2,2,3
ENSMUSG00000086726.4,0,0,1,0
ENSMUSG00000086727.10,0,4,0,0
ENSMUSG00000100237.2,3,1,0,2
ENSMUSG00002076113.1,0,0,10,0
ENSMUSG00000100910.2,13,35,22,10
ENSMUSG00000099796.2,0,2,0,0
ENSMUSG00000050217.14,2,0,0,0
ENSMUSG00000026063.5,0,0,0,0
ENSMUSG00000077664.3,0,0,0,0
ENSMUSG00000100205.2,0,0,0,0
ENSMUSG00000100592.2,0,0,0,0
ENSMUSG00000094215.4,0,2,2,0
ENSMUSG00000101093.2,0,0,0,0
ENSMUSG00000070960.5,121,117,48,82
ENSMUSG00000088620.3,0,0,0,0
ENSMUSG00000082159.3,4,0,0,1
ENSMUSG00000026058.12,2,0,4,0
ENSMUSG00000064688.3,0,0,0,0
ENSMUSG00000103482.2,0,0,0,0
ENSMUSG00000104498.2,0,0,0,2
ENSMUSG00000104313.2,6,0,0,0
ENSMUSG00000102865.2,0,0,1,2
ENSMUSG00000102321.2,0,0,0,0
ENSMUSG00000091318.3,0,6,1,0
ENSMUSG00000089489.3,0,0,0,0
ENSMUSG00000104433.2,0,0,0,0
ENSMUSG00002076392.1,0,0,0,0
ENSMUSG00000102926.2,0,0,2,0
ENSMUSG00000100497.2,0,0,0,0
ENSMUSG00000102917.2,0,0,0,0
ENSMUSG00000100481.2,60,64,66,61
ENSMUSG00000100590.2,0,0,0,6
ENSMUSG00000088750.3,0,0,0,0
ENSMUSG00000104230.2,0,0,0,0
ENSMUSG00000101754.3,2,0,0,0
ENSMUSG00000065223.4,0,2,0,0
ENSMUSG00000100318.3,0,0,0,0
ENSMUSG00000101612.3,4,0,2,2
ENSMUSG00000065260.3,0,0,0,0
ENSMUSG00000026134.12,1212,1236,981,917
ENSMUSG00000101682.2,8,17,6,14
ENSMUSG00000102714.2,141,178,176,135
ENSMUSG00000102093.2,16,21,11,26
ENSMUSG00000103746.3,39,22,20,29
ENSMUSG00000102198.2,2,3,8,10
ENSMUSG00000121274.1,0,0,1,0
ENSMUSG00000004768.15,1784,1565,1415,1411
ENSMUSG00000042215.9,2425,2117,1521,1790
ENSMUSG00000103072.2,9,15,14,15
ENSMUSG00000042197.14,9868,10373,7866,8304
ENSMUSG00000081402.5,206,209,172,164
ENSMUSG00000042182.17,1034,1358,926,971
ENSMUSG00000104416.2,103,119,120,84
ENSMUSG00000026131.22,119588,113008,92776,96087
ENSMUSG00000103596.2,223,192,186,157
ENSMUSG00000099382.2,48,40,24,12
ENSMUSG00000084506.3,28,26,29,27
ENSMUSG00000103364.2,608,547,557,558
ENSMUSG00000105982.3,7,7,3,8
ENSMUSG00000096992.4,184,166,120,118
ENSMUSG00000103001.2,182,183,110,102
ENSMUSG00000104397.2,0,0,0,0
ENSMUSG00000102839.2,0,2,0,0
ENSMUSG00000101206.2,0,2,0,4
ENSMUSG00000101462.4,1,0,0,0
ENSMUSG00000121838.1,22,41,43,55
ENSMUSG00000102336.3,554,497,473,373
ENSMUSG00000092852.3,0,0,0,0
ENSMUSG00000042111.10,1663,1454,1308,1335
ENSMUSG00000101711.2,4,2,0,5
ENSMUSG00000026127.14,4288,4478,3384,3394
ENSMUSG00000026126.16,63,57,46,56
ENSMUSG00000100280.4,16,13,7,3
ENSMUSG00000101223.8,28,32,14,25
ENSMUSG00000026125.10,0,0,1,0
ENSMUSG00000101116.2,0,0,0,0
ENSMUSG00000026124.5,16,2,6,13
ENSMUSG00000101803.2,0,0,1,0
ENSMUSG00000037529.14,0,0,0,2
ENSMUSG00000045815.5,0,0,0,0
ENSMUSG00000045174.11,0,0,0,2
ENSMUSG00000100524.2,0,0,0,0
ENSMUSG00000102499.2,0,0,0,2
ENSMUSG00000103521.2,0,0,0,0
ENSMUSG00000104098.2,0,0,0,9
ENSMUSG00000037509.22,356,440,422,365
ENSMUSG00000102537.2,2,5,0,2
ENSMUSG00000102612.2,2,4,0,0
ENSMUSG00000118272.2,0,0,0,0
ENSMUSG00000104002.3,56,84,57,63
ENSMUSG00000037503.13,18254,17052,14236,15967
ENSMUSG00000104358.2,516,572,583,454
ENSMUSG00000026123.12,10789,8555,6229,6406
ENSMUSG00000103716.2,0,0,6,0
ENSMUSG00000103548.2,38,30,26,20
ENSMUSG00000103760.2,0,2,0,0
ENSMUSG00000103997.2,0,0,0,0
ENSMUSG00000077231.3,0,0,0,0
ENSMUSG00000104417.2,0,0,0,0
ENSMUSG00000064601.3,0,0,0,0
ENSMUSG00000101714.2,0,0,0,0
ENSMUSG00000102531.2,2,0,7,0
ENSMUSG00000103096.2,0,6,2,6
ENSMUSG00000102279.2,0,10,4,6
ENSMUSG00000103708.3,9,19,24,8
ENSMUSG00000104201.2,0,2,0,4
ENSMUSG00000102434.2,6,1,1,6
ENSMUSG00000045216.8,11361,12606,9280,10925
ENSMUSG00000104523.2,0,0,0,0
ENSMUSG00000102202.3,323,223,183,162
ENSMUSG00000037470.15,36025,38135,28705,27077
ENSMUSG00000098752.3,3,5,1,0
ENSMUSG00000047180.9,167,157,126,74
ENSMUSG00000037447.17,826,738,554,560
ENSMUSG00000102762.2,38,85,50,90
ENSMUSG00000010453.13,6523,6118,5459,5655
ENSMUSG00000098680.3,0,0,0,0
ENSMUSG00000037432.16,414,332,377,307
ENSMUSG00000001143.14,3114,2481,2163,2053
ENSMUSG00000037408.11,1873,2025,1789,1627
ENSMUSG00000104316.2,78,86,59,92
ENSMUSG00002075980.1,0,0,0,0
ENSMUSG00000001138.14,4555,3878,3496,3638
ENSMUSG00000102845.2,0,0,0,0
ENSMUSG00000067653.13,80,64,90,63
ENSMUSG00000109510.2,7,13,11,5
ENSMUSG00000079610.10,1049,1103,851,871
ENSMUSG00000026121.14,9052,11108,8941,9305
ENSMUSG00000087589.4,20,21,2,7
ENSMUSG00000046337.18,253,121,91,100
ENSMUSG00000089906.2,2,0,1,0
ENSMUSG00002075377.1,0,0,0,0
ENSMUSG00000061518.12,1578,1485,1263,1209
ENSMUSG00000037351.10,8780,8415,6667,6656
ENSMUSG00000102416.5,18,6,17,18
ENSMUSG00000104237.2,0,2,5,7
ENSMUSG00000026117.11,167,86,72,75
ENSMUSG00000121718.1,1,0,0,0
ENSMUSG00000097291.3,7,0,0,0
ENSMUSG00000026116.12,13997,12339,11506,11304
ENSMUSG00000103016.2,14,10,13,9
ENSMUSG00000102930.2,160,193,212,225
ENSMUSG00000103159.2,423,342,366,458
ENSMUSG00000080054.4,2,0,4,6
ENSMUSG00000119706.1,0,0,0,0
ENSMUSG00000050122.21,24,5,9,27
ENSMUSG00000103603.2,0,0,1,2
ENSMUSG00000026114.15,0,0,6,2
ENSMUSG00000102231.2,1,0,0,0
ENSMUSG00000026113.18,7043,6209,5438,5551
ENSMUSG00000086064.2,77,90,64,69
ENSMUSG00000102879.2,79,53,60,47
ENSMUSG00000026112.8,12541,12248,9783,9376
ENSMUSG00000026111.16,4883,5073,3965,4096
ENSMUSG00000026110.16,65066,87649,58016,61026
ENSMUSG00000103948.2,636,988,763,726
ENSMUSG00000087233.2,51,45,64,46
ENSMUSG00000026090.17,522,623,359,361
ENSMUSG00000089767.2,11,2,2,8
ENSMUSG00000104365.2,2,1,0,4
ENSMUSG00000102650.2,2,10,6,6
ENSMUSG00000060771.16,2311,2414,2500,2165
ENSMUSG00000097268.2,21,10,21,9
ENSMUSG00000037216.6,345,279,300,216
ENSMUSG00000026088.16,1267,915,1016,953
ENSMUSG00000026087.12,1388,1131,959,1108
ENSMUSG00000061584.7,3,7,0,4
ENSMUSG00000087374.2,0,0,0,0
ENSMUSG00000026085.12,0,1,0,0
ENSMUSG00002076708.1,0,0,0,0
ENSMUSG00000058407.13,2916,2862,2433,2404
ENSMUSG00000026083.13,15820,14380,12809,12549
ENSMUSG00000026082.12,2724,2639,2089,2183
ENSMUSG00000103804.2,151,147,111,97
ENSMUSG00000102716.2,0,0,0,2
ENSMUSG00000037138.19,1170,1204,1039,1137
ENSMUSG00000085391.2,22,7,31,20
