X,wt2VehM0,wt3VehM0,wt4VehM0,wt2DexM0,wt3DexM0,wt4DexM0
Adat2,70.3783051801558,69.0363718914756,78.246585400902,80.2691361326093,69.9018290766891,84.2353690294575
Adat3,20.9459241607606,10.1524076310994,17.2142487881984,12.8430617812175,11.9344586228494,14.6832294638504
Adc,54.4594028179777,48.7315566292769,42.2531561164871,34.2481647499133,57.9673704538397,27.8208558262429
Adck1,218.675448238341,187.819541175338,176.837283006038,385.291853436525,342.689454741817,305.256612537942
Adck2,164.216045420363,152.28611446649,176.054817152029,210.840264241654,172.197188701112,194.7459907837
Adck3,104.729620803803,117.767928520752,106.415356145227,118.798321476262,127.869199530529,98.145796942579
Adck4,258.053785660571,219.292004831746,196.398929356264,291.109400374263,248.91870841943,230.294862117232
Adck5,115.621501367399,103.554557837213,95.4608341891004,108.095769991914,86.9510556807596,81.9169643772706
Adcy1,0,0,0,0,0,0
Adcy10,0,0,0,0,0,0.772801550728968
Adcy2,60.3242615829907,52.7925196817166,70.4219268608118,41.7399507889569,39.2132211893622,41.7312837393643
Adcy3,246.324068130545,228.429171699735,201.876190334327,207.629498796349,231.869481815359,208.656418696821
Adcy4,0,0,2.34739756202706,3.21076544530437,0,0
Adcy5,1.67567393286085,0,0,1.07025514843479,1.70492266040705,1.54560310145794
Adcy6,6.70269573144341,7.10668534176955,3.9123292700451,5.35127574217396,5.11476798122115,7.72801550728968
Adcy7,7018.56026778768,6774.7016122326,7039.06282266514,6044.8010783597,5675.68753649507,5926.61509254046
Adcy8,0,0,0.78246585400902,0,0,1.54560310145794
Adcy9,411.377950517339,337.059933352498,377.931007486357,491.247113131569,535.345715367814,562.599528930689
Adcyap1,0,0,0,0,0,0
Add1,3063.96978623607,3155.36829174568,2956.15599644608,2687.41067771976,2755.1550192178,2878.68577646541
Add2,0,0,0,0,0,0
Add3,444.891429174556,429.446842795503,475.739239237484,445.226141748873,429.640510422577,434.31447150968
Adgb,47.7567070865343,47.716315866167,71.9868585688298,34.2481647499133,30.6886078873269,31.6848635798877
Adh1,0,0,0,0,0,0
Adh4,0,0,0,0,0,0
Adh5,1103.43128478887,1024.37792997792,1120.49110294092,1207.24780743444,1164.46217705802,1186.25038036897
Adh7,0,0,0,0,0,0
Adhfe1,31.8378047243562,36.5486674719577,27.3863048903157,26.7563787108698,27.2787625665128,21.6384434204111
Adi1,605.756126729198,757.369609280012,679.962827133838,649.644875099918,758.690583881138,690.884586351698
Adig,0,0,0,0,0,0.772801550728968
Adipoq,0,0,0,0,0,0
Adipor1,3332.91545246023,3294.45627629174,3181.50616240067,3225.74901738246,3319.48441981253,3129.07347890159
Adipor2,1508.9443765412,1453.82477277343,1519.54868848552,1531.53511741019,1725.38173233194,1493.8253975591
Adk,491.81029929466,432.492565084832,510.95020266789,480.544561647221,520.001411424151,531.68746690153
Adm,0,1.01524076310994,0.78246585400902,7.49178603904354,3.4098453208141,4.63680930437381
Adm2,0,0,0,0,0,0
Adnp,1121.02586108391,1012.19504082061,1129.09822733502,957.878357849138,987.150220375683,1013.14283300568
Adnp2,419.756320181643,387.821971507995,390.450461150501,460.20971382696,397.246979874843,425.040852900932
Ado,656.864181681454,686.302755862316,666.660907615685,451.647672639482,441.574969045426,448.99770097353
Adora1,0,0,0.78246585400902,0,0,0
Adora2a,17.5945762950389,15.228611446649,18.7791804962165,20.334847820261,8.52461330203526,12.3648248116635
Adora2b,55.2972397844081,62.944927312816,52.4252122186043,53.5127574217396,42.6230665101763,33.2304666813456
Adora3,12.5675544964564,9.13716686798942,9.38959024810824,5.35127574217396,5.11476798122115,5.40961085510278
Adpgk,281.513220720623,305.58746969609,329.418124537797,293.249910671133,274.492548325535,296.755795479924
Adprh,831.134270698982,745.186720122692,710.47899544019,654.996150842092,770.625042503987,622.878049887548
Adprhl1,0,0,0,0,0,0
Adprhl2,222.026796104063,179.697615070459,223.002768392571,179.802864937045,208.00056456966,171.561944261831
Adprm,145.783632158894,112.691724705203,151.79837567775,131.641383257479,121.049508888901,143.741088435588
Adra1a,699.593866969406,802.040202856849,619.712956375144,814.464167958876,838.821948920269,707.113418917006
Adra1b,0,0,0,0,0,0
Adra1d,0,0,0,0,0,0
Adra2a,0,0,0,0,0,0.772801550728968
Adra2b,0,0,0,0,0,0
Adra2c,0,0,0,0,0,0
Adrb1,0,0,0.78246585400902,4.28102059373916,1.70492266040705,3.86400775364484
Adrb2,230.405165768367,238.581579330835,246.476744012841,527.635788178352,533.640792707407,574.191552191623
Adrb3,0,0,0,0,0,0
Adrbk1,4112.10383124053,3888.37212271105,3926.41365541726,3487.96152874898,3246.17274541503,3029.38207885755
Adrbk2,216.99977430548,198.987189569547,205.788519604372,155.186996523045,136.393812832564,159.969921000896
