"","gene_symbol","pval","padj","log2fc"
"39","TNFRSF4",0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000176438050637557,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000204047563526979,0.707346428794091
"40","SDF4",0.0000000000000000956324594499804,0.00000000000000960275875758516,0.435959664186007
"41","B3GALT6",0.0000752809930700427,0.00185372536386424,-0.342254835215638
"42","C1QTNF12",0.149613594483776,0.791316942406071,1.86897240576818
"43","AL162741.1",0.9996988312101,0.999988108847249,16.8459146960111
"44","UBE2J2",0.0101641698692982,0.119967256658238,0.256784251681557
"45","LINC01786",0.999988108847249,0.999988108847249,-0.00000000000283585951418763
"46","SCNN1D",0.38633976478551,0.999988108847249,Inf
"47","ACAP3",0.358314185600872,0.999988108847249,-0.315803782038417
"48","PUSL1",0.934489043941861,0.999988108847249,0.0133562647831454
"49","INTS11",0.00000375037357727853,0.000121998088297543,0.436102597581493
"50","CPTP",0.334317111167,0.999988108847249,0.28585678910024
"51","TAS1R3",0.363682739122636,0.999988108847249,Inf
"52","DVL1",0.221879858954295,0.999988108847249,0.249911624498475
"53","MXRA8",0.247114452682532,0.999988108847249,-1.19258456900334
"54","AURKAIP1",0.0142139230524723,0.156605305957233,0.118159995379092
"55","CCNL2",0.038117170947287,0.314096727083565,0.216166207586264
"56","MRPL20",0.0411887229738089,0.333697853310995,-0.080357476451502
"57","AL391244.3",0.0579215267234551,0.426189592639587,-1.56760083377207
"58","ANKRD65",0.999988108847249,0.999988108847249,-0.00000000000283585951418763
"59","AL391244.2",0.999988108847249,0.999988108847249,-0.00000000000283585951418763
"60","TMEM88B",0.999988108847249,0.999988108847249,-0.00000000000283585951418763
"61","LINC01770",0.999988108847249,0.999988108847249,-0.00000000000283585951418763
"62","VWA1",0.999988108847249,0.999988108847249,-0.00000000000283585951418763
"63","ATAD3C",0.418621779783569,0.999988108847249,-0.792588652443522
"64","ATAD3B",0.000000000276494458051684,0.0000000165886782363817,0.49237192061752
"65","ATAD3A",0.00000138612937798453,0.0000495079947591536,0.408763468730628
"66","TMEM240",0.367522862796305,0.999988108847249,Inf
"67","SSU72",0.0681690659707295,0.477591175682923,0.113132460893985
"68","AL645728.1",0.501793725068049,0.999988108847249,-0.350192331413213
"69","FNDC10",0.0377709557360701,0.312669773819652,2.29604537839491
"70","AL691432.2",0.383867152870541,0.999988108847249,-0.585564996922873
"71","MIB2",0.891793179138168,0.999988108847249,0.0226183925104797
"72","MMP23B",0.512303759042267,0.999988108847249,Inf
"73","CDK11B",0.925793866433242,0.999988108847249,-0.0107028111769254
"74","FO704657.1",0.0899297793286031,0.578677079647485,Inf
"75","SLC35E2B",0.00335041252746227,0.0491870395443197,1.77003609836117
"76","CDK11A",0.0000326190014262435,0.000879401985396587,-0.432591233971071
"77","SLC35E2A",0.599509600365592,0.999988108847249,-0.2944545429399
"78","NADK",0.052814259942921,0.400033738130723,-0.229738870470292
"79","GNB1",0.0231697867545361,0.219077617190198,-0.16916132640094
"80","AL109917.1",0.553264649229467,0.999988108847249,-1.03595261424305
"81","CALML6",0.99986206915712,0.999988108847249,4.25736248117137
"82","TMEM52",0.286804758102961,0.999988108847249,0.369560657181788
"83","CFAP74",0.660781079896523,0.999988108847249,Inf
"84","AL391845.2",0.999988108847249,0.999988108847249,-0.00000000000283585951418763
"85","GABRD",0.068258668085673,0.477591175682923,-5.79889227501867
"86","AL391845.1",0.999988108847249,0.999988108847249,-0.00000000000283585951418763
"87","PRKCZ",0.108592890525093,0.652686086457089,-0.51598337824298
"88","AL590822.2",0.0289950752981806,0.255929557958809,-Inf
