"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"EPHX1",8.24820656783752e-95,1.6719558451975,0.473,0.196,1.58629508712651e-90,"EPHX1"
"NFIB",6.58560237548387e-115,1.66907025568785,0.417,0.128,1.26654304885306e-110,"NFIB"
"S100A13",4.88150789839306e-120,1.66790359420595,0.656,0.334,9.38811599018952e-116,"S100A13"
"ARID5B",2.74984206055572e-134,1.66446946449959,0.571,0.221,5.28849625086075e-130,"ARID5B"
"LMAN1",1.77541045776039e-65,1.66202736730047,0.405,0.187,3.41446939236479e-61,"LMAN1"
"C5orf15",5.33634140795984e-47,1.65975019992392,0.294,0.13,1.02628517957884e-42,"C5orf15"
"ZFYVE21",5.09880010460485e-54,1.65039725605736,0.317,0.135,9.80601236117606e-50,"ZFYVE21"
"PIK3R1",4.63449367039579e-202,1.64987210203756,0.601,0.175,8.91305822690519e-198,"PIK3R1"
"IL6ST",3.32645089808198e-120,1.64535199914607,0.543,0.212,6.39743036719127e-116,"IL6ST"
"SLC44A1",4.99633027025697e-71,1.62129923247884,0.41,0.176,9.60894237575821e-67,"SLC44A1"
"TM2D2",6.57968113891272e-45,1.60788554410302,0.273,0.116,1.26540427663569e-40,"TM2D2"
"FOXO3",1.58323853592601e-88,1.60174520574761,0.494,0.218,3.04488435229291e-84,"FOXO3"
"AKAP9",1.18930212042883e-80,1.59920056786455,0.525,0.262,2.28726583800872e-76,"AKAP9"
"GABPB1-AS1",1.7900690034815e-70,1.59259745845089,0.367,0.145,3.44266070749563e-66,"GABPB1-AS1"
"SMIM14",4.30929710099589e-72,1.59240738681654,0.469,0.233,8.2876401846353e-68,"SMIM14"
"MAGED2",7.49955855425213e-64,1.58611117162904,0.371,0.159,1.44231510115377e-59,"MAGED2"
"CNN3",1.68911885340443e-188,1.58351774135051,0.674,0.227,3.2485133788674e-184,"CNN3"
"HSD17B12",5.01172075482063e-66,1.5750310106366,0.459,0.235,9.63854135567103e-62,"HSD17B12"
"EPB41L2",4.13611357480657e-92,1.57048240684753,0.339,0.103,7.954573627068e-88,"EPB41L2"
"PTMS",5.78440774596387e-127,1.56246722161063,0.673,0.344,1.11245729770377e-122,"PTMS"
"NAP1L1",7.10805141896205e-170,1.55361495664784,0.872,0.63,1.36702044889478e-165,"NAP1L1"
"C12orf57",7.87709482862745e-139,1.55212755419919,0.69,0.327,1.51492287744163e-134,"C12orf57"
"LMO4",2.0467277834767e-77,1.55093597433001,0.463,0.212,3.9362668731824e-73,"LMO4"
"MPST",4.07351442563826e-60,1.53697720846394,0.439,0.225,7.8341829433875e-56,"MPST"
"FERMT2",8.25970053254115e-92,1.52740283653597,0.343,0.104,1.58850560641831e-87,"FERMT2"
"COX11",8.32276687260168e-41,1.52694508394836,0.263,0.114,1.60063452493875e-36,"COX11"
"MAP4",3.78693544207394e-61,1.52467149693421,0.356,0.149,7.2830342421966e-57,"MAP4"
"ZNF503",4.38774430777035e-46,1.51762203589038,0.292,0.125,8.43850985270393e-42,"ZNF503"
"EGR1",3.99554077907711e-141,1.51294608545262,0.769,0.414,7.68422402632111e-137,"EGR1"
"SLC38A2",1.244622997746e-85,1.49437631972533,0.548,0.274,2.39365894926511e-81,"SLC38A2"
"CCL2",2.91318118222608e-51,1.49124867723059,0.272,0.103,5.6026300496572e-47,"CCL2"
"PEBP1",7.30800122175919e-163,1.48705018764814,0.847,0.494,1.40547479496873e-158,"PEBP1"
"GADD45A",1.54627385061931e-49,1.46884733639434,0.293,0.119,2.97379386951106e-45,"GADD45A"
"GSN",2.49083882423451e-53,1.46563743685672,0.708,0.492,4.7903812267678e-49,"GSN"
"LAPTM4A",3.4774536898066e-242,1.44196388909924,0.954,0.69,6.68783893623604e-238,"LAPTM4A"
"CYP20A1",7.00557723907649e-48,1.42834019702764,0.329,0.149,1.34731261461919e-43,"CYP20A1"
"RCN1",7.07911983531066e-70,1.42414204346487,0.398,0.165,1.36145632672695e-65,"RCN1"
