"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"VCP",1.46802263310332e-09,0.589774685523468,0.344,0.268,2.82330112798431e-05,"VCP"
"ASH1L",7.07559750490773e-09,0.586825717393488,0.256,0.181,0.000136077891214386,"ASH1L"
"PDAP1",4.98275113314497e-09,0.584595723287071,0.298,0.222,9.58282697926441e-05,"PDAP1"
"TMEM230",2.41392687136578e-16,0.584018255516627,0.51,0.401,4.64246415901068e-12,"TMEM230"
"OSTC",2.11062459679553e-12,0.582929385278549,0.468,0.379,4.05915322455717e-08,"OSTC"
"MMADHC",6.96650125685966e-11,0.582525321597,0.382,0.301,1.33979752171925e-06,"MMADHC"
"WASF2",1.20145245687027e-18,0.581051185489449,0.478,0.345,2.31063336505291e-14,"WASF2"
"PNN",3.24316875187268e-10,0.578867843937037,0.296,0.209,6.23726214360155e-06,"PNN"
"RSF1",1.26744353932134e-09,0.578734337335828,0.258,0.179,2.43754741482281e-05,"RSF1"
"CCT3",1.11159445599268e-08,0.57855886615641,0.346,0.277,0.000213781845776513,"CCT3"
"VDAC3",1.20361573323036e-08,0.576300668069327,0.312,0.24,0.000231479377814863,"VDAC3"
"RPL7A",5.31912373205443e-87,0.573446160716723,0.985,0.937,1.02297387614871e-82,"RPL7A"
"RPL5",4.20402749173643e-80,0.571344633286444,0.975,0.929,8.08518567210751e-76,"RPL5"
"HNRNPH3",5.64685076553028e-12,0.565128083641311,0.373,0.278,1.08600233922678e-07,"HNRNPH3"
"ERGIC2",4.29894242383798e-06,0.563545388384173,0.257,0.202,0.0826772606952521,"ERGIC2"
"SPCS2",1.22483093954733e-20,0.562769570104988,0.64,0.537,2.35559486293742e-16,"SPCS2"
"DAAM1",2.69132456176367e-23,0.561519886152849,0.283,0.149,5.17595539718389e-19,"DAAM1"
"TMEM256",1.16789348510146e-10,0.558327726560147,0.392,0.309,2.24609275054714e-06,"TMEM256"
"EMP1",3.17420761481631e-40,0.557045750435556,0.445,0.235,6.10463608481473e-36,"EMP1"
"SRSF11",2.73657920529993e-16,0.556573525204241,0.524,0.412,5.26298912763283e-12,"SRSF11"
"C10orf54",6.69018853660276e-14,0.555323213713878,0.397,0.279,1.28665705935944e-09,"C10orf54"
"ANAPC13",1.26340111611375e-05,0.554092671728404,0.258,0.207,0.242977302650996,"ANAPC13"
"TAGLN",5.31403686856073e-204,0.552748032887281,0.535,0.142,1.0219955705616e-199,"TAGLN"
"RSL1D1",2.79959244122924e-15,0.552691647364505,0.51,0.406,5.38417618297208e-11,"RSL1D1"
"LMAN2",4.75836913677071e-11,0.551499368352609,0.448,0.364,9.15129552383743e-07,"LMAN2"
"STRA13",9.72535050716674e-06,0.551192036565678,0.283,0.232,0.187037940953831,"STRA13"
"SEPT2",3.67238531022667e-10,0.550062661732691,0.38,0.298,7.06273142862794e-06,"SEPT2"
"N4BP2L2",3.60521773977711e-26,0.546020099413413,0.673,0.526,6.93355475713933e-22,"N4BP2L2"
"NSRP1",8.71931062834691e-06,0.545479021309523,0.289,0.236,0.167689782004368,"NSRP1"
"SON",1.59305254435391e-23,0.543854288529742,0.708,0.582,3.06375865330144e-19,"SON"
"LAMP1",8.52275533816676e-22,0.540395651915688,0.603,0.464,1.63909630663623e-17,"LAMP1"
"NDUFS4",5.51617468251846e-07,0.539655512869818,0.353,0.299,0.0106087071494195,"NDUFS4"
"LDHA",5.51887669719419e-21,0.539208062301068,0.715,0.602,1.06139036640439e-16,"LDHA"
"RABAC1",1.2654922332679e-20,0.536882984266222,0.627,0.515,2.43379466302083e-16,"RABAC1"
"KIF5B",5.60634959643534e-14,0.536703980677461,0.483,0.385,1.07821315438644e-09,"KIF5B"
"ZC3H13",3.84143984779627e-06,0.535868023048537,0.272,0.215,0.073878571152818,"ZC3H13"
"PLP2",3.80867075728169e-10,0.533231780021169,0.402,0.32,7.32483560040415e-06,"PLP2"
"SRP9",2.97344224491953e-17,0.529428754092309,0.541,0.423,5.71852412542925e-13,"SRP9"
"SNW1",6.34317279777e-08,0.528698418301209,0.297,0.228,0.00121991899246713,"SNW1"
"TERF2IP",2.59900263907113e-16,0.525838402357457,0.436,0.319,4.9984018754616e-12,"TERF2IP"
"PA2G4",1.16933084990219e-12,0.522910069397509,0.496,0.403,2.24885709053189e-08,"PA2G4"
"TCEAL8",1.64589033040365e-05,0.52174774393012,0.322,0.273,0.316537628343231,"TCEAL8"
"SSR2",6.80161036075013e-23,0.519771292799158,0.675,0.554,1.30808570457947e-18,"SSR2"
"TOMM7",2.73892785518178e-45,0.518094714889743,0.906,0.848,5.2675060510856e-41,"TOMM7"
"HSPA9",7.05797454524432e-06,0.516510120576322,0.32,0.266,0.135738966454139,"HSPA9"
"NUDC",3.34445980455984e-11,0.516220612046899,0.413,0.328,6.43206509612949e-07,"NUDC"
"ATP6AP2",3.30757860966702e-15,0.512088650089797,0.581,0.47,6.36113518211161e-11,"ATP6AP2"
"TMCO1",6.79489132784662e-08,0.510805425090961,0.37,0.302,0.00130679350017146,"TMCO1"
"C19orf60",9.4692818072315e-08,0.51026533269217,0.403,0.34,0.00182113227716676,"C19orf60"
"TRMT112",5.97044148041442e-17,0.50996935588279,0.629,0.536,1.1482353055133e-12,"TRMT112"
"HSPA5",5.67186045883149e-14,0.509546192840898,0.596,0.506,1.09081220344247e-09,"HSPA5"
"PSMC2",2.41358361219197e-05,0.508029120720385,0.274,0.223,0.46418040029676,"PSMC2"
"HNRNPA0",7.41263798169468e-20,0.507870687106944,0.623,0.504,1.42559853663952e-15,"HNRNPA0"
"HSPB1",3.32239783153085e-39,0.505974744496657,0.753,0.526,6.38963550960013e-35,"HSPB1"
"MPC1",0.00012441461641959,0.505332948989089,0.286,0.244,1,"MPC1"
"EAPP",9.43105858757487e-08,0.504996531567095,0.314,0.242,0.0018137811875624,"EAPP"
"SMC3",1.10175433177046e-06,0.503649755643727,0.251,0.188,0.0211889393086096,"SMC3"
"HNRNPR",2.40816695576463e-08,0.502977158019348,0.353,0.28,0.000463138668932653,"HNRNPR"
"GLUD1",4.79673594705196e-06,0.502629171826629,0.283,0.225,0.0922508257337033,"GLUD1"
"FUNDC2",1.93494926594366e-06,0.501591941993325,0.296,0.237,0.0372129442826285,"FUNDC2"
"FLNA",5.02195089291747e-09,0.500535924930344,0.438,0.366,9.65821595725887e-05,"FLNA"
"EIF3I",1.03051980737942e-10,0.491983692290191,0.471,0.396,1.98189569355209e-06,"EIF3I"
"UBE2V2",2.23915675133947e-05,0.491186405128589,0.266,0.216,0.430634626417607,"UBE2V2"
"HIST1H4C",9.38808528399281e-14,0.491043227306836,0.309,0.206,1.8055165618175e-09,"HIST1H4C"
"SPTSSA",8.69751124827738e-07,0.486676974784782,0.343,0.277,0.0167270536326871,"SPTSSA"
"NDUFA5",1.49986967810012e-09,0.485083355346079,0.404,0.32,2.88454936492215e-05,"NDUFA5"
"ZNF428",2.22653613473913e-05,0.48205299690638,0.25,0.198,0.42820742943303,"ZNF428"
"SUCLG1",0.000127129310249766,0.481565740576855,0.294,0.253,1,"SUCLG1"
"SERINC1",4.87059989266701e-07,0.481222478759594,0.367,0.305,0.0093671377135772,"SERINC1"
"CYC1",1.03256402530389e-07,0.480043500246333,0.395,0.336,0.00198582713346444,"CYC1"
"SRI",2.08751190731641e-08,0.479563823971776,0.443,0.378,0.000401470290015093,"SRI"
"PHIP",0.000105030189876043,0.475337590608843,0.257,0.21,1,"PHIP"
"MGST1",3.56050043143131e-37,0.472967662847525,0.53,0.308,6.84755442972869e-33,"MGST1"
"ATRX",1.17029069262548e-09,0.470511671770114,0.353,0.265,2.25070306005733e-05,"ATRX"
"CCPG1",0.000377278519885835,0.465837895622909,0.259,0.219,1,"CCPG1"
"SRRM2",7.9858710684063e-08,0.465413510895601,0.451,0.393,0.0015358427238759,"SRRM2"
"HIGD1A",0.00394611047830707,0.464441665526846,0.266,0.241,1,"HIGD1A"
"XRCC6",2.72374696409829e-10,0.464285899529638,0.463,0.38,5.23831016135383e-06,"XRCC6"
"LIMS1",6.96256853086659e-09,0.463653851195197,0.415,0.337,0.000133904117985626,"LIMS1"
"SKP1",1.35588374715235e-32,0.463086709547338,0.855,0.762,2.60763562252341e-28,"SKP1"
"DDX17",1.8370622524585e-06,0.458633805187069,0.426,0.366,0.0353303812392819,"DDX17"
"MALAT1",6.22672168200197e-50,0.458470402362682,0.996,0.997,1.19752311388262e-45,"MALAT1"
"IMP3",0.000485380232468234,0.455942320045526,0.27,0.232,1,"IMP3"
"DDT",1.16884818064827e-08,0.454681967510172,0.472,0.399,0.000224792882102275,"DDT"
"C7orf50",0.000308163699931363,0.453544007360941,0.291,0.253,1,"C7orf50"
"RAD23B",0.00752246085214663,0.452527964806184,0.263,0.239,1,"RAD23B"
"EMC7",0.000252012109953175,0.449896866603238,0.333,0.295,1,"EMC7"
"SRSF4",2.64305910475738e-06,0.4484549464442,0.304,0.242,0.0508313127026938,"SRSF4"
"DNAJB9",5.33645728733172e-12,0.448295750141698,0.36,0.262,1.02630746549964e-07,"DNAJB9"
"RSL24D1",3.61830215890031e-12,0.447160975821314,0.604,0.522,6.95871871199708e-08,"RSL24D1"
"RTN4",2.48486568155978e-27,0.446710466791323,0.827,0.684,4.77889367877577e-23,"RTN4"
"NCOR1",2.12446643771917e-06,0.446031524717082,0.314,0.253,0.0408577385302151,"NCOR1"
"ALDH2",7.38770824634042e-27,0.445660500709536,0.683,0.474,1.42080404993619e-22,"ALDH2"
"C11orf58",4.40365205247271e-11,0.44518203918471,0.582,0.521,8.46910362731552e-07,"C11orf58"
"MANF",6.05975980656657e-05,0.440955117879975,0.306,0.256,1,"MANF"
"BZW1",5.16750487941241e-11,0.439600609862587,0.516,0.434,9.93814538408595e-07,"BZW1"
"HBP1",1.00656378987078e-05,0.438231013877974,0.267,0.211,0.193582348067949,"HBP1"
"KLF9",7.35762184398851e-12,0.437657940804334,0.404,0.294,1.41501783303587e-07,"KLF9"
"EIF3L",5.08623823416807e-10,0.436470931797224,0.564,0.488,9.78185337195203e-06,"EIF3L"
"HMGN2",1.58744294148604e-16,0.435971436302274,0.731,0.612,3.05297026506595e-12,"HMGN2"
"RPS5",8.0386604043224e-55,0.43497296329835,0.981,0.947,1.54599516895928e-50,"RPS5"
"DDX24",5.82968533146361e-13,0.434942686320543,0.496,0.396,1.12116508294708e-08,"DDX24"
"PPP1R15A",2.01863040305985e-15,0.433978163755742,0.696,0.637,3.8822299911647e-11,"PPP1R15A"
"ETFB",4.51913807657204e-06,0.433487800556556,0.393,0.344,0.0869120634886334,"ETFB"
"ERGIC3",4.97524807992334e-05,0.427622134504424,0.404,0.367,0.956839710730857,"ERGIC3"
"MRFAP1",5.58946584939565e-12,0.42643758074893,0.521,0.428,1.07496607215577e-07,"MRFAP1"
"BBX",8.10263105450112e-06,0.424935222076821,0.256,0.198,0.155829800440166,"BBX"
"SNHG8",1.34188982394541e-12,0.424620214257149,0.598,0.511,2.58072250941181e-08,"SNHG8"
"IFITM3",1.38680148623374e-113,0.422884271615242,0.955,0.654,2.66709661832473e-109,"IFITM3"
"DLC1",7.6203258170232e-10,0.421125599013755,0.258,0.172,1.4655410611299e-05,"DLC1"
"G0S2",9.71497356189076e-88,0.420472550395006,0.483,0.176,1.86838371542283e-83,"G0S2"
"NDUFC2",1.15111864036696e-09,0.420248461360856,0.554,0.483,2.21383136915373e-05,"NDUFC2"
"DDRGK1",0.00784202646670338,0.419163274235416,0.263,0.238,1,"DDRGK1"
"GGNBP2",1.57079004961769e-06,0.417025844238631,0.369,0.306,0.0302094342342474,"GGNBP2"
"LINC00493",4.39938252378527e-05,0.416857089675301,0.413,0.371,0.846089246974382,"LINC00493"
"PCM1",2.67872589416172e-06,0.414319035842953,0.273,0.209,0.0515172563965182,"PCM1"
"BTG3",6.50829934060034e-11,0.413985110782998,0.39,0.289,1.25167612918426e-06,"BTG3"
"DPYSL2",8.70489087004456e-05,0.413969079293867,0.342,0.293,1,"DPYSL2"
"FNTA",2.35190987790783e-05,0.413888567291557,0.259,0.204,0.452319307719235,"FNTA"
"AP2M1",4.39990178558759e-11,0.411381483219235,0.516,0.424,8.46189111404204e-07,"AP2M1"
"ATF3",4.3426548812596e-09,0.407076231683464,0.568,0.509,8.35179386763846e-05,"ATF3"
"CIR1",0.000221360852165204,0.406985965945732,0.292,0.249,1,"CIR1"
"SAT2",0.00095984347329766,0.406596794424045,0.375,0.347,1,"SAT2"
"TNFRSF1A",1.55420754714882e-07,0.405774543919679,0.378,0.306,0.00298905195467662,"TNFRSF1A"
"PPP1R10",2.62013518241963e-05,0.40555206113649,0.252,0.199,0.503904398282942,"PPP1R10"
"PSMC6",0.000151398101796679,0.405526755184186,0.296,0.251,1,"PSMC6"
"C19orf70",1.60613314917483e-07,0.405518002606381,0.49,0.435,0.00308891527249302,"C19orf70"
"APEX1",0.00396669682678171,0.403641768431524,0.325,0.3,1,"APEX1"
"CALR",1.52459079348851e-08,0.402208926683232,0.558,0.487,0.00029320930140371,"CALR"
"DARS",5.21490426575424e-05,0.402003367553339,0.28,0.23,1,"DARS"
"MT2A",1.82146162008577e-51,0.400680322425376,0.827,0.611,3.50303498774895e-47,"MT2A"
"MRPS36",0.00382344665281263,0.400133229071812,0.309,0.278,1,"MRPS36"
"MDH2",0.000105008981882844,0.399001763785824,0.372,0.333,1,"MDH2"
"RWDD1",4.18485945701793e-06,0.398806909348996,0.451,0.405,0.0804832170773687,"RWDD1"
"DDAH2",1.7642026300976e-05,0.397203206928634,0.366,0.311,0.33929144982037,"DDAH2"
"EIF3D",2.3830874205474e-05,0.39700520648547,0.416,0.368,0.458315372719675,"EIF3D"
"IER3IP1",0.000956708393587133,0.396068320856359,0.291,0.255,1,"IER3IP1"
"SERINC3",3.72302052957358e-08,0.395411362365755,0.346,0.263,0.000716011308247592,"SERINC3"
"ST13",2.9127376434805e-08,0.394518259833379,0.564,0.503,0.000560177703594169,"ST13"
"SDHB",0.00174815598778937,0.386990529136809,0.31,0.278,1,"SDHB"
"PTGES3",4.37802811275894e-12,0.386924339483158,0.631,0.54,8.41982366645799e-08,"PTGES3"
"TMBIM1",0.000448460910810997,0.383687036161018,0.302,0.261,1,"TMBIM1"
"PRMT1",1.62534192005827e-08,0.383193733848522,0.344,0.265,0.000312585758065606,"PRMT1"
"MDH1",0.000226779405186119,0.378997070445974,0.347,0.302,1,"MDH1"
"MIF",2.95378883285338e-05,0.375495852391394,0.45,0.413,0.568072668334362,"MIF"
"PPDPF",1.98347504431917e-24,0.375272600885678,0.824,0.66,3.81461920523462e-20,"PPDPF"
"HSD17B10",0.000153506563313355,0.37419838649225,0.329,0.286,1,"HSD17B10"
"SSB",4.25588533197158e-07,0.371630143054332,0.448,0.378,0.00818491867044773,"SSB"
"KRT10",0.000106695774474142,0.370140005907573,0.39,0.345,1,"KRT10"
"PSMB1",1.2264999268644e-15,0.369758032482382,0.698,0.597,2.35880465934562e-11,"PSMB1"
"CHMP5",2.55541644193658e-08,0.369436726717879,0.435,0.359,0.000491457690113243,"CHMP5"
"PHB",5.7378082239157e-05,0.36856368287803,0.35,0.302,1,"PHB"
"OST4",1.20792253241852e-14,0.368216256858666,0.741,0.663,2.32307661434729e-10,"OST4"
"LSM5",8.23991481415129e-05,0.36539680433159,0.398,0.355,1,"LSM5"
"UGP2",3.61172740675162e-08,0.362619801059369,0.438,0.364,0.000694607414866471,"UGP2"
"PNRC2",1.38287397372247e-05,0.361902267960922,0.375,0.32,0.265954322626305,"PNRC2"
"RER1",0.0272083686551846,0.36173874192647,0.322,0.312,1,"RER1"
"SDHC",0.00124528547549866,0.361473886045645,0.347,0.315,1,"SDHC"
"CWC15",0.00108848281924029,0.361275643990598,0.287,0.25,1,"CWC15"
"ALKBH7",0.0104984272930307,0.360919836994107,0.349,0.328,1,"ALKBH7"
"SEP15",7.6436585529662e-06,0.359646793045202,0.488,0.444,0.147002841290646,"SEP15"
"XRCC5",4.10451033919007e-06,0.358380179215741,0.417,0.359,0.0789379428433035,"XRCC5"
"HAX1",0.00150638595519955,0.357755219877526,0.285,0.249,1,"HAX1"
"MRPL51",4.87378165610952e-06,0.356723403120046,0.405,0.352,0.0937325688102982,"MRPL51"
"CUTA",4.36782842841224e-07,0.355360204996206,0.497,0.441,0.00840020763352242,"CUTA"
"RPL12",1.84721058763704e-44,0.354251467793453,0.994,0.965,3.55255540214356e-40,"RPL12"
"NDFIP1",3.47808699691143e-07,0.350258502396172,0.47,0.408,0.00668905691246007,"NDFIP1"
"MORF4L1",1.94692036356922e-18,0.347522977522524,0.79,0.705,3.74431724321633e-14,"MORF4L1"
"PSMC1",0.00281112533408655,0.344056050145237,0.32,0.289,1,"PSMC1"
"RPS18",9.00617917693549e-51,0.337825380342751,1,0.996,1.73206837930823e-46,"RPS18"
"STUB1",9.46430842324441e-05,0.336814839395911,0.344,0.294,1,"STUB1"
"CRBN",4.52233256525011e-05,0.335034015395206,0.265,0.209,0.869734998948901,"CRBN"
"LSM6",0.000112414733990109,0.333905381243586,0.355,0.306,1,"LSM6"
"CD151",3.06938336477064e-16,0.333868421355335,0.53,0.402,5.9030380871269e-12,"CD151"
"RNASEH2C",0.0173388164178948,0.331511178466719,0.267,0.242,1,"RNASEH2C"
"NHP2",0.00684326522007451,0.331423993224416,0.324,0.302,1,"NHP2"
"DCTN3",2.50361055050346e-05,0.33069375888381,0.367,0.314,0.481494381072826,"DCTN3"
"CCT2",0.00187237537243746,0.328995675098469,0.29,0.255,1,"CCT2"
"SRSF7",4.15741834380578e-09,0.328708222945601,0.554,0.474,7.99554695880728e-05,"SRSF7"
"FBXL5",0.015937904381544,0.328675845770553,0.25,0.224,1,"FBXL5"
"U2SURP",0.00481691882262262,0.328324526834314,0.285,0.251,1,"U2SURP"
"SRP72",0.0313032549535994,0.326899474141658,0.292,0.275,1,"SRP72"
"ARGLU1",7.51103216231755e-16,0.326737747701635,0.528,0.397,1.44452170545691e-11,"ARGLU1"
"YBX3",1.3758611598115e-10,0.32574847411396,0.547,0.467,2.64605618254947e-06,"YBX3"
"RPL23A",4.31342216571974e-41,0.32546518544875,0.988,0.974,8.29557350911221e-37,"RPL23A"
"CCNL1",4.06936051568063e-06,0.324610043575484,0.641,0.613,0.0782619414375698,"CCNL1"
"MT-ND5",4.17836760205479e-11,0.323165806314111,0.795,0.692,8.03583657227178e-07,"MT-ND5"
"BNIP3L",1.51350627161241e-05,0.320035143766232,0.443,0.398,0.291077526156499,"BNIP3L"
"VAMP5",1.0821388881704e-41,0.319624681311377,0.594,0.33,2.08116950972931e-37,"VAMP5"
"ATP5A1",4.51207233496645e-06,0.317799199805495,0.527,0.478,0.0867761751460747,"ATP5A1"
"RPS19BP1",0.000421346679517836,0.316205113173725,0.412,0.376,1,"RPS19BP1"
"DDIT3",0.000921659684678737,0.315784213623725,0.345,0.307,1,"DDIT3"
"MEAF6",0.000134869777665499,0.314891040355686,0.31,0.259,1,"MEAF6"
"SPCS1",5.57343543497446e-06,0.31465773276269,0.583,0.525,0.107188310285429,"SPCS1"
"SKAP2",7.4734036147041e-05,0.314262453303722,0.35,0.295,1,"SKAP2"
"HNMT",0.00141521911886257,0.31327227467517,0.343,0.299,1,"HNMT"
"FKBP8",4.87160911585524e-05,0.312372682053305,0.463,0.415,0.936907865161279,"FKBP8"
"TMBIM4",4.65114161633707e-06,0.311465560542303,0.504,0.45,0.0894507555653946,"TMBIM4"
"TUBB",4.98944116829875e-07,0.311403687529293,0.545,0.48,0.00959569325487216,"TUBB"
"COQ10B",0.00022241144899907,0.310519707802183,0.263,0.215,1,"COQ10B"
"RSRC2",4.91873494446327e-07,0.307157208051885,0.469,0.398,0.00945971104519176,"RSRC2"
"RPSA",4.78495351687751e-26,0.307028584879844,0.952,0.898,9.20242260365882e-22,"RPSA"
"RAD23A",0.000275969272090824,0.305708744361184,0.399,0.361,1,"RAD23A"
"MTDH",2.42990674631789e-06,0.305366731089496,0.582,0.523,0.0467319665451857,"MTDH"
"NAPA",0.0936334381305553,0.303883450252558,0.271,0.26,1,"NAPA"
"SERBP1",1.56841080576977e-07,0.300975578039701,0.558,0.496,0.00301636766165642,"SERBP1"
"EIF2A",0.00112395520130985,0.300940248349177,0.351,0.316,1,"EIF2A"
"TAGLN2",5.63018753883765e-18,0.299808266247596,0.77,0.623,1.08279766746926e-13,"TAGLN2"
"HMGN3",0.00104709102633594,0.298314890101651,0.469,0.441,1,"HMGN3"
"ANAPC16",4.6920407532803e-08,0.294931911974331,0.625,0.568,0.000902373277670867,"ANAPC16"
"ATP5B",1.45290919933204e-05,0.294886527560974,0.607,0.549,0.279423497215539,"ATP5B"
"NCL",2.35041832370013e-07,0.294338263277329,0.58,0.536,0.00452032452014009,"NCL"
"PIN1",0.0578190474516346,0.293759305296857,0.282,0.268,1,"PIN1"
"GLTSCR2",7.03655228248326e-08,0.293341394731946,0.7,0.669,0.00135326973496718,"GLTSCR2"
"WSB1",7.18533920084453e-07,0.292687378383847,0.647,0.581,0.0138188443510642,"WSB1"
"CAPZB",9.10190761621113e-08,0.291894559507356,0.583,0.517,0.00175047887274972,"CAPZB"
"SNRPE",1.51980749768941e-05,0.291711872482845,0.473,0.424,0.292289377955627,"SNRPE"
"SNRNP70",0.0345461945293862,0.291392728572617,0.26,0.24,1,"SNRNP70"
"EDF1",9.89711746598888e-11,0.29052011177767,0.771,0.704,1.90341363105898e-06,"EDF1"
"SRSF5",1.99775064283584e-09,0.289495225948935,0.701,0.642,3.8420740363019e-05,"SRSF5"
"OCIAD1",0.00493657611987104,0.289361840494221,0.395,0.368,1,"OCIAD1"
"SNRPD2",7.56644697320424e-06,0.286558112499578,0.633,0.598,0.145517908188664,"SNRPD2"
"TAF7",3.80416174072421e-13,0.286049191589228,0.438,0.318,7.31616385976081e-09,"TAF7"
"C14orf166",1.57039044277424e-05,0.28480395240897,0.542,0.495,0.302017489954342,"C14orf166"
"RPL6",1.06521486719146e-28,0.283347997092691,0.979,0.958,2.04862123258261e-24,"RPL6"
"AIMP1",0.0153735255082698,0.28210557747689,0.333,0.312,1,"AIMP1"
"C1QBP",0.142554935817975,0.281913046599443,0.32,0.32,1,"C1QBP"
"MT1E",2.11557440548081e-53,0.281448945569661,0.543,0.273,4.0686726966207e-49,"MT1E"
"CCDC107",0.00454136404438956,0.278658667105495,0.265,0.231,1,"CCDC107"
"CANX",0.0116671744163919,0.277565607377276,0.431,0.42,1,"CANX"
"FBL",0.00300822066307155,0.275235591562154,0.287,0.252,1,"FBL"
"TMEM147",0.0891290131956954,0.272914095683307,0.367,0.364,1,"TMEM147"
"ID2",3.63781016572872e-21,0.272234639507117,0.645,0.517,6.99623651072948e-17,"ID2"
"DPM1",0.00169134338181922,0.27145712554145,0.305,0.265,1,"DPM1"
"MAF1",0.0339744447201286,0.267595835377221,0.294,0.276,1,"MAF1"
"RPL13A",2.6548183014538e-36,0.267586292845587,0.999,0.996,5.10574655735594e-32,"RPL13A"
"METAP2",0.0339788163584721,0.266505624543305,0.31,0.287,1,"METAP2"
"RPL10",4.89369436298612e-29,0.266253368462445,1,0.998,9.41155299889491e-25,"RPL10"
"VDAC1",0.00450868903913548,0.264150153518812,0.425,0.395,1,"VDAC1"
"CCT8",0.00862191073269184,0.264018114937119,0.402,0.377,1,"CCT8"
"MINOS1",5.18210942868483e-05,0.257322385574624,0.517,0.471,0.996623285324666,"MINOS1"
"TBCA",7.21546004367381e-05,0.257177175083245,0.582,0.543,1,"TBCA"
"DHRS7",0.00014016847919989,0.256654880998352,0.375,0.325,1,"DHRS7"
"RBM25",0.0165067900971694,0.255945042676403,0.366,0.345,1,"RBM25"
"VIM",4.12551974637401e-27,0.255678890055432,0.958,0.786,7.9341995762265e-23,"VIM"
"VAMP2",1.92030306117612e-09,0.254555016511771,0.527,0.437,3.69312684725392e-05,"VAMP2"
"GLUL",2.43084144849691e-24,0.252050434481414,0.845,0.641,4.67499427374926e-20,"GLUL"
"NANS",0.775181618382,0.251953520083612,0.264,0.277,1,"NANS"
"NARS",0.164472288561729,0.250469571358718,0.252,0.242,1,"NARS"
"CTSL",4.5067380281818e-05,-0.251084713772331,0.462,0.368,0.866735857579923,"CTSL"
"COX8A",0.000242945177804739,-0.251142414679556,0.587,0.632,1,"COX8A"
"NDUFS7",0.000199002316562316,-0.251159088757298,0.335,0.416,1,"NDUFS7"
"SNRPG",0.000434627561993681,-0.254558705650509,0.453,0.524,1,"SNRPG"
"THBS1",5.78302742749651e-07,-0.255692649223008,0.534,0.411,0.0111219183485613,"THBS1"
"UQCRFS1",0.00083062195912994,-0.256276533545422,0.336,0.409,1,"UQCRFS1"
"ZEB2",0.682652744764668,-0.256705213919718,0.305,0.306,1,"ZEB2"
"RPL27",1.33467096845444e-13,-0.256931581414011,0.951,0.958,2.56683920653157e-09,"RPL27"
"BUD31",0.00954681131696427,-0.259318750965439,0.3,0.355,1,"BUD31"
"PKM",0.00256677599715211,-0.259908557842695,0.497,0.529,1,"PKM"
"BRD2",0.00920395119482409,-0.260050198501179,0.284,0.339,1,"BRD2"
"VMP1",0.0961696978072695,-0.262772628365671,0.333,0.365,1,"VMP1"
"AC090498.1",6.39871593439889e-05,-0.26286246782845,0.299,0.386,1,"AC090498.1"
"UQCRC1",0.000188897960394105,-0.263188657040983,0.224,0.295,1,"UQCRC1"
"PSMA2",0.00363198907368372,-0.263539263754958,0.355,0.415,1,"PSMA2"
"CD164",0.0131962405993834,-0.264515137290743,0.424,0.459,1,"CD164"
"NDUFA13",0.00126203635719631,-0.266294258557179,0.428,0.494,1,"NDUFA13"
"ATP6V0E1",2.5124163705633e-06,-0.26633235019724,0.711,0.718,0.0483187916386735,"ATP6V0E1"
"LINC01420",0.00469166472408658,-0.267555765057539,0.234,0.286,1,"LINC01420"
"CASP4",0.00497147265223281,-0.27261248980077,0.246,0.299,1,"CASP4"
"RPLP2",8.94856991134513e-17,-0.272801415092638,0.996,0.994,1.7209889653499e-12,"RPLP2"
"AUP1",0.000419352911975773,-0.274246161583446,0.236,0.307,1,"AUP1"
"EZR",0.957123263596296,-0.275487282689244,0.405,0.402,1,"EZR"
"TUBA1B",0.00928783312773592,-0.275501420864174,0.661,0.676,1,"TUBA1B"
"SNU13",0.001153781464621,-0.277631484759349,0.444,0.519,1,"SNU13"
"EIF1",5.44112973303776e-21,-0.279401027979326,0.979,0.994,1.04643807025782e-16,"EIF1"
"SRSF2",0.00142364706767954,-0.281641935437852,0.413,0.477,1,"SRSF2"
"GPX4",3.44992815297928e-05,-0.281764398367366,0.729,0.703,0.663490182380975,"GPX4"
"PSAP",0.606537793817906,-0.283151659151824,0.88,0.753,1,"PSAP"
"CHMP4A",0.0120263830195236,-0.28427953032039,0.221,0.267,1,"CHMP4A"
"NDUFV2",0.000434222717489064,-0.28565533524336,0.418,0.482,1,"NDUFV2"
"APH1A",0.0183414327559317,-0.28746717174779,0.24,0.285,1,"APH1A"
"SH3GLB1",0.000442341340343519,-0.289621487519375,0.284,0.356,1,"SH3GLB1"
"C19orf43",8.55799759212224e-06,-0.291906922487656,0.501,0.579,0.164587409691695,"C19orf43"
"UQCR10",0.000323580177003214,-0.29257967410352,0.506,0.55,1,"UQCR10"
"ATP6AP1",2.05810407805117e-05,-0.292671702036792,0.236,0.317,0.3958145762908,"ATP6AP1"
"GAPDH",0.00101285904434447,-0.295072245522397,0.919,0.88,1,"GAPDH"
"MRPS15",0.000102237879186866,-0.297654974677781,0.232,0.305,1,"MRPS15"
"FAU",7.00408379578655e-26,-0.297925110815889,0.974,0.98,1.34702539560567e-21,"FAU"
"EIF3K",1.33703752440593e-06,-0.298916168014626,0.649,0.697,0.0257139056693748,"EIF3K"
"SFT2D1",9.98786584518866e-05,-0.299738804375792,0.332,0.41,1,"SFT2D1"
